#  Z   A El rea   betaSLO  DbetaSLO  betaSMLO DbetaSMLO   betadef   betapri  betayush   betaRam  DbetaRam  betaSLOn    DbSLOn betaSMLOn   DbSMLOn
  62 152 Sm 4      0.2847    0.0043    0.2865    0.0045    0.2660    0.3065    0.2500    0.3064    0.0027    0.2729    0.0036    0.2746    0.0035
  62 152 Sm 4      0.2968    0.0032   -0.2739    0.0028    0.2660    0.3065    0.2500    0.3064    0.0027    0.2842    0.0027   -0.2801    0.0035
  62 154 Sm 0      0.2988    0.0433    0.3096    0.0399    0.3020    0.3404    0.3050    0.3410    0.0020    0.2860    0.0383    0.2959    0.0327
  62 154 Sm 4      0.3128    0.0055    0.3177    0.0050    0.3020    0.3404    0.3050    0.3410    0.0020    0.2989    0.0048    0.3035    0.0039
  62 154 Sm 4      0.3332    0.0050    0.3333    0.0050    0.3020    0.3404    0.3050    0.3410    0.0020    0.3177    0.0038    0.3178    0.0038
  64 152 Gd 4a     0.2643    0.0053    0.2494    0.0069    0.2170    0.2053    0.1610    0.2060    0.0090    0.2539    0.0044    0.2400    0.0056
  64 152 Gd 4b     0.2632    0.0058    0.2494    0.0074    0.2170    0.2053    0.1610    0.2060    0.0090    0.2530    0.0049    0.2400    0.0060
  64 154 Gd 4a     0.2728    0.0052    0.2647    0.0060    0.2610    0.3113    0.2690    0.3120    0.0028    0.2619    0.0043    0.2543    0.0048
  64 154 Gd 4b     0.2684    0.0057    0.2603    0.0064    0.2610    0.3113    0.2690    0.3120    0.0028    0.2577    0.0048    0.2502    0.0053
  64 156 Gd 0      0.2824    0.0309   -0.2627    0.0257    0.2950    0.3399    0.3170    0.3378    0.0018    0.2708    0.0267   -0.2683    0.0298
  64 156 Gd 4a    -0.2700    0.0046   -0.2503    0.0046    0.2950    0.3399    0.3170    0.3378    0.0018   -0.2760    0.0054   -0.2553    0.0053
  64 156 Gd 4b    -0.2704    0.0062   -0.2509    0.0069    0.2950    0.3399    0.3170    0.3378    0.0018   -0.2764    0.0075   -0.2559    0.0080
  64 158 Gd 4a     0.2930    0.0058    0.2811    0.0065    0.2930    0.3510    0.3350    0.3484    0.0017    0.2806    0.0048    0.2696    0.0053
  64 158 Gd 4b     0.2763    0.0077   -0.2464    0.0084    0.2930    0.3510    0.3350    0.3484    0.0017    0.2651    0.0067   -0.2511    0.0102
  64 160 Gd 3a     0.3210    0.0152    0.3173    0.0161    0.2980    0.3510    0.3440    0.3534    0.0020    0.3065    0.0127    0.3031    0.0124
  64 160 Gd 3b     0.3207    0.0194    0.3215    0.0199    0.2980    0.3510    0.3440    0.3534    0.0020    0.3062    0.0164    0.3069    0.0157
  64 160 Gd 4      0.3175    0.0079    0.3226    0.0075    0.2980    0.3510    0.3440    0.3534    0.0020    0.3033    0.0067    0.3080    0.0059
  68 168 Er 0      0.2998    0.0330   -0.2668    0.0342    0.2920    0.3361    0.2810    0.3381    0.0029    0.2869    0.0268   -0.2726    0.0378
  70 174 Yb 0     -0.2541    0.0238   -0.2427    0.0246    0.2720    0.3226    0.2900    0.3249    0.0016   -0.2593    0.0285   -0.2472    0.0275
  72 176 Hf 4      0.2849    0.0055    0.2878    0.0055    0.2620    0.2990    0.2690    0.2953    0.0028    0.2732    0.0048    0.2758    0.0046
  72 178 Hf 0     -0.2624    0.0224   -0.2443    0.0219    0.2590    0.2779    0.2620    0.2803    0.0017   -0.2680    0.0258   -0.2490    0.0245
  72 178 Hf 0      0.2792    0.0205   -0.2545    0.0192    0.2590    0.2779    0.2620    0.2803    0.0017    0.2679    0.0173   -0.2597    0.0220
  72 178 Hf 4      0.2836    0.0061   -0.2638    0.0055    0.2590    0.2779    0.2620    0.2803    0.0017    0.2719    0.0052   -0.2694    0.0064
  72 178 Hf 4     -0.2282    0.0380    0.2102    0.0288    0.2590    0.2779    0.2620    0.2803    0.0017   -0.2321    0.0465    0.2032    0.0257
  72 180 Hf 0     -0.2450    0.0304   -0.2273    0.0293    0.2560    0.2731    0.2620    0.2738    0.0035   -0.2497    0.0342   -0.2311    0.0320
  72 180 Hf 0      0.2632    0.0230   -0.2432    0.0226    0.2560    0.2731    0.2620    0.2738    0.0035    0.2529    0.0195   -0.2478    0.0258
  72 180 Hf 4      0.2793    0.0043   -0.2613    0.0040    0.2560    0.2731    0.2620    0.2738    0.0035    0.2680    0.0036   -0.2668    0.0045
  74 182 W  0      0.2629    0.0623   -0.1705    0.0326    0.2400    0.2485    0.2370    0.2508    0.0024    0.2526    0.0542   -0.1722    0.0349
  74 182 W  0      0.2522    0.0322    0.2625    0.0378    0.2400    0.2485    0.2370    0.2508    0.0024    0.2426    0.0284    0.2523    0.0318
  74 182 W  4      0.2385    0.0067    0.2435    0.0061    0.2400    0.2485    0.2370    0.2508    0.0024    0.2298    0.0059    0.2345    0.0051
  74 184 W  0     -0.2612    0.0320   -0.2334    0.0417    0.2210    0.2339    0.2250    0.2362    0.0041   -0.2666    0.0377   -0.2376    0.0446
  74 184 W  4      0.2236    0.0081   -0.1972    0.0068    0.2210    0.2339    0.2250    0.2362    0.0041    0.2159    0.0072   -0.1998    0.0074
  74 184 W  4a     0.2683    0.0182    0.2842    0.0126    0.2210    0.2339    0.2250    0.2362    0.0041    0.2577    0.0167    0.2725    0.0108
  74 184 W  4b     0.2768    0.0181    0.2769    0.0176    0.2210    0.2339    0.2250    0.2362    0.0041    0.2656    0.0162    0.2657    0.0156
  74 186 W  0     -0.1510    0.0400   -0.1476    0.0470    0.2100    0.2257    0.2140    0.2257    0.0039   -0.1522    0.0446   -0.1487    0.0498
  74 186 W  4      0.2141    0.0080    0.2213    0.0082    0.2100    0.2257    0.2140    0.2257    0.0039    0.2069    0.0071    0.2136    0.0068
  74 186 W  4      0.1987    0.0071    0.2132    0.0067    0.2100    0.2257    0.2140    0.2257    0.0039    0.1923    0.0065    0.2060    0.0058
  74 186 W  4a     0.2463    0.0250   -0.2390    0.0186    0.2100    0.2257    0.2140    0.2257    0.0039    0.2372    0.0229   -0.2434    0.0226
