#  Z   A El rea   betaSLO  DbetaSLO  betaSMLO DbetaSMLO   betadef   betapri  betayush   betaRam  DbetaRam  betaSLOn    DbSLOn betaSMLOn   DbSMLOn
  64 156 Gd 0      0.2824    0.0309   -0.2627    0.0257    0.2950    0.3399    0.3170    0.3378    0.0018    0.2708    0.0267   -0.2683    0.0298
  68 168 Er 0      0.2998    0.0330   -0.2668    0.0342    0.2920    0.3361    0.2810    0.3381    0.0029    0.2869    0.0268   -0.2726    0.0378
  70 174 Yb 0     -0.2541    0.0238   -0.2427    0.0246    0.2720    0.3226    0.2900    0.3249    0.0016   -0.2593    0.0285   -0.2472    0.0275
  72 178 Hf 0     -0.2624    0.0224   -0.2443    0.0219    0.2590    0.2779    0.2620    0.2803    0.0017   -0.2680    0.0258   -0.2490    0.0245
  72 180 Hf 0     -0.2450    0.0304   -0.2273    0.0293    0.2560    0.2731    0.2620    0.2738    0.0035   -0.2497    0.0342   -0.2311    0.0320
  74 182 W  0      0.2629    0.0623   -0.1705    0.0326    0.2400    0.2485    0.2370    0.2508    0.0024    0.2526    0.0542   -0.1722    0.0349
  74 184 W  0     -0.2612    0.0320   -0.2334    0.0417    0.2210    0.2339    0.2250    0.2362    0.0041   -0.2666    0.0377   -0.2376    0.0446
  74 186 W  0     -0.1510    0.0400   -0.1476    0.0470    0.2100    0.2257    0.2140    0.2257    0.0039   -0.1522    0.0446   -0.1487    0.0498
  76 186 Os 5      0.1724    0.0460   -0.1693    0.0455    0.2050    0.2056    0.2050    0.2000    0.0034    0.1673    0.0406   -0.1709    0.0494
  76 188 Os 5      0.1810    0.0477   -0.1669    0.0424    0.1790    0.1844    0.1930    0.1862    0.0018    0.1756    0.0417   -0.1685    0.0456
  76 190 Os 5     -0.1630    0.0639   -0.1654    0.0381    0.1530    0.1777    0.1750    0.1775    0.0023   -0.1645    0.0715   -0.1669    0.0422
