#  Z   A El rea        E1       DE1        E2       DE2     E1def    DE1def     E2def    DE2def
   3   6 Li 2     23.6900    0.1600    0.0000    0.0000   28.1962    0.0000    0.0000    0.0000
   3   6 Li 4     12.1800    0.0500    0.0000    0.0000  -19.6644    0.0000   17.3243    0.0000
   3   7 Li 0     18.5900    0.2100    0.0000    0.0000  -18.9157    0.0000   16.6647    0.0000
   3   7 Li 2a    16.3900    0.1100    0.0000    0.0000  -18.9157    0.0000   16.6647    0.0000
   3   7 Li 2b    16.4000    0.1100    0.0000    0.0000  -18.9157    0.0000   16.6647    0.0000
   3   7 Li 4a    16.3400    0.0700    0.0000    0.0000  -18.9157    0.0000   16.6647    0.0000
   3   7 Li 4b    16.2600    0.1000    0.0000    0.0000  -18.9157    0.0000   16.6647    0.0000
   4   9 Be 0     23.7500    0.1000    0.0000    0.0000  -18.1255    0.0000   15.9686    0.0000
   5  10 B  4a    21.7200    0.1000    0.0000    0.0000  -17.8824    0.0000   15.7544    0.0000
   5  10 B  4b    22.5400    0.3200    0.0000    0.0000  -17.8824    0.0000   15.7544    0.0000
   6  12 C  0     22.8600    0.0200    0.0000    0.0000  -17.2799    0.0000   15.2235    0.0000
   6  12 C  1     22.8800    0.0200    0.0000    0.0000  -17.2799    0.0000   15.2235    0.0000
   6  12 C  3a    23.1400    0.0500    0.0000    0.0000  -17.2799    0.0000   15.2235    0.0000
   6  12 C  3b    23.0900    0.0700    0.0000    0.0000  -17.2799    0.0000   15.2235    0.0000
   6  12 C  4     22.7900    0.0700    0.0000    0.0000  -17.2799    0.0000   15.2235    0.0000
   6  13 C  3a    24.6000    0.1300    0.0000    0.0000  -16.9702    0.0000   14.9507    0.0000
   6  13 C  3b    24.4000    0.1700    0.0000    0.0000  -16.9702    0.0000   14.9507    0.0000
   6  14 C  3a    15.4100    0.2600   26.1300    0.1500  -16.6114    0.0000   14.6346    0.0000
   6  14 C  3b    16.6800    0.5700   25.8700    0.1700  -16.6114    0.0000   14.6346    0.0000
   6   0 C  0     23.1200    0.0200    0.0000    0.0000  -17.2799    0.0000   15.2235    0.0000
