#  Z   A El rea        E1       DE1        E2       DE2     E1def    DE1def     E2def    DE2def
   3   6 Li 2     23.7500    0.1700    0.0000    0.0000  -19.6644    0.0000   17.3243    0.0000
   3   6 Li 4     13.9600    0.1300    0.0000    0.0000  -19.6644    0.0000   17.3243    0.0000
   3   7 Li 0     20.2100    0.4900    0.0000    0.0000  -18.9157    0.0000   16.6647    0.0000
   3   7 Li 2a    18.3900    0.1800    0.0000    0.0000  -18.9157    0.0000   16.6647    0.0000
   3   7 Li 2b    18.3900    0.1800    0.0000    0.0000  -18.9157    0.0000   16.6647    0.0000
   3   7 Li 4a    16.6700    0.1100    0.0000    0.0000  -18.9157    0.0000   16.6647    0.0000
   3   7 Li 4b    16.8800    0.1400    0.0000    0.0000  -18.9157    0.0000   16.6647    0.0000
   4   9 Be 0     24.1800    0.1400    0.0000    0.0000  -18.1255    0.0000   15.9686    0.0000
   5  10 B  4a    23.3100    0.2200    0.0000    0.0000  -17.8824    0.0000   15.7544    0.0000
   5  10 B  4b    24.9600    0.9200    0.0000    0.0000  -17.8824    0.0000   15.7544    0.0000
   6  12 C  0     22.9000    0.0200    0.0000    0.0000  -17.2799    0.0000   15.2235    0.0000
   6  12 C  1     22.9300    0.0300    0.0000    0.0000  -17.2799    0.0000   15.2235    0.0000
   6  12 C  3a    23.1300    0.0500    0.0000    0.0000  -17.2799    0.0000   15.2235    0.0000
   6  12 C  3b    23.1000    0.0700    0.0000    0.0000  -17.2799    0.0000   15.2235    0.0000
   6  12 C  4     22.8200    0.0700    0.0000    0.0000  -17.2799    0.0000   15.2235    0.0000
   6  13 C  3a    25.0200    0.2100    0.0000    0.0000  -16.9702    0.0000   14.9507    0.0000
   6  13 C  3b    24.5400    0.2100    0.0000    0.0000  -16.9702    0.0000   14.9507    0.0000
   6  14 C  3a    15.6900    0.2200   26.2700    0.1600  -16.6114    0.0000   14.6346    0.0000
   6  14 C  3b    16.1700    0.4000   26.0700    0.1900  -16.6114    0.0000   14.6346    0.0000
   6  12 C  0     23.1400    0.0200    0.0000    0.0000  -17.2799    0.0000   15.2235    0.0000
   6  12 C  0     23.4000    0.0100    0.0000    0.0000  -17.2799    0.0000   15.2235    0.0000
   6  12 C  0     23.1600    0.0200    0.0000    0.0000  -17.2799    0.0000   15.2235    0.0000
   6  12 C  1a    23.5300    0.1000    0.0000    0.0000  -17.2799    0.0000   15.2235    0.0000
   6  12 C  1b    23.9200    0.2100    0.0000    0.0000  -17.2799    0.0000   15.2235    0.0000
   7  14 N  0     23.1900    0.0300    0.0000    0.0000  -16.7835    0.0000   14.7862    0.0000
   7  14 N  3a    23.3600    0.0900    0.0000    0.0000  -16.7835    0.0000   14.7862    0.0000
   7  14 N  3b    23.2900    0.2100    0.0000    0.0000  -16.7835    0.0000   14.7862    0.0000
   7  15 N  3a    26.2900    0.5700    0.0000    0.0000  -16.5283    0.0000   14.5614    0.0000
   7  15 N  3b    26.3500    0.9000    0.0000    0.0000  -16.5283    0.0000   14.5614    0.0000
   8  16 O  0     23.7800    0.0400    0.0000    0.0000   23.1569    0.0000   23.6193    0.0000
   8  16 O  0     23.7400    0.0400    0.0000    0.0000   23.1569    0.0000   23.6193    0.0000
   8  16 O  0     23.4500    0.0500    0.0000    0.0000   23.1569    0.0000   23.6193    0.0000
   8  16 O  0     22.9600    0.0500    0.0000    0.0000   23.1569    0.0000   23.6193    0.0000
   8  16 O  1a    23.8800    0.1000    0.0000    0.0000   23.1569    0.0000   23.6193    0.0000
   8  16 O  1b    24.0000    0.1400    0.0000    0.0000   23.1569    0.0000   23.6193    0.0000
   8  16 O  3a    23.7200    0.0800    0.0000    0.0000   23.1569    0.0000   23.6193    0.0000
   8  16 O  3b    23.9100    0.1300    0.0000    0.0000   23.1569    0.0000   23.6193    0.0000
   8  17 O  3a    23.4600    0.1100    0.0000    0.0000   21.7223    0.0000   23.9768    0.0000
   8  17 O  3b    23.4200    0.1500    0.0000    0.0000   21.7223    0.0000   23.9768    0.0000
   8  18 O  3a    19.1200    0.1300   24.1900    0.1800   22.5019    0.0000   22.9513    0.0000
   8  16 O  0     23.6400    0.0400    0.0000    0.0000   23.1569    0.0000   23.6193    0.0000
   8  16 O  0     23.9000    0.0300    0.0000    0.0000   23.1569    0.0000   23.6193    0.0000
   9  19 F  3a    24.0900    0.9000    0.0000    0.0000   18.7943    0.0000   25.7468    0.0000
  11  23 Na 0     17.5700    0.1700   21.2600    0.1000   18.0329    0.0000   24.9451    0.0000
  11  23 Na 1a    19.9900    0.3300   24.7800    0.1300   18.0329    0.0000   24.9451    0.0000
  11  23 Na 1b    20.1700    0.4000   24.7900    0.1300   18.0329    0.0000   24.9451    0.0000
  11  23 Na 3a    17.6100    0.2000   21.1100    0.1100   18.0329    0.0000   24.9451    0.0000
  11  23 Na 3b    17.5100    0.2900   21.0800    0.1300   18.0329    0.0000   24.9451    0.0000
  11  23 Na 4     17.9100    0.1200   25.5500    0.3800   18.0329    0.0000   24.9451    0.0000
  12  24 Mg 0     19.4600    0.1400   24.3000    0.4300   18.1626    0.0000   24.4409    0.0000
  12  24 Mg 3a    19.8700    0.0500   24.5900    0.0800   18.1626    0.0000   24.4409    0.0000
  12  24 Mg 3b    19.8300    0.0600   24.6700    0.0800   18.1626    0.0000   24.4409    0.0000
  12  24 Mg 3a    20.0200    0.0700   24.8900    0.0800   18.1626    0.0000   24.4409    0.0000
  12  24 Mg 3b    19.9000    0.0800   24.8500    0.0900   18.1626    0.0000   24.4409    0.0000
  12  25 Mg 3a    22.7300    0.1700    0.0000    0.0000   18.2669    0.0000   23.9296    0.0000
  12  25 Mg 3b    22.4100    0.2300    0.0000    0.0000   18.2669    0.0000   23.9296    0.0000
  12  25 Mg 4     24.5600    0.4400    0.0000    0.0000   18.2669    0.0000   23.9296    0.0000
  12  26 Mg 3a    17.3900    0.0500   23.8300    0.0900   19.5234    0.0000   26.9876    0.0000
  12  26 Mg 3b    17.3600    0.1100   23.8100    0.1000   19.5234    0.0000   26.9876    0.0000
  12  26 Mg 3a    17.4700    0.1000   23.8300    0.2100   19.5234    0.0000   26.9876    0.0000
  12  26 Mg 3b    17.4700    0.2200   23.8300    0.2400   19.5234    0.0000   26.9876    0.0000
  12  26 Mg 4     17.4500    0.0300   22.9100    0.1300   19.5234    0.0000   26.9876    0.0000
  12  24 Mg 1a    22.3200    0.2500    0.0000    0.0000   18.1626    0.0000   24.4409    0.0000
  12  24 Mg 1b    20.1800    0.1800    0.0000    0.0000   18.1626    0.0000   24.4409    0.0000
  13  27 Al 0     21.0000    0.1000    0.0000    0.0000   18.7614    0.0000   31.1833    0.0000
  13  27 Al 0     20.9800    0.0800    0.0000    0.0000   18.7614    0.0000   31.1833    0.0000
  13  27 Al 0     21.0800    0.0800    0.0000    0.0000   18.7614    0.0000   31.1833    0.0000
  13  27 Al 0     21.1100    0.0700    0.0000    0.0000   18.7614    0.0000   31.1833    0.0000
  13  27 Al 3a    20.6200    0.0800    0.0000    0.0000   18.7614    0.0000   31.1833    0.0000
  13  27 Al 4     21.0100    0.0300    0.0000    0.0000   18.7614    0.0000   31.1833    0.0000
  14  28 Si 3a    19.8800    0.1600   21.8400    0.2000   18.5103    0.0000   32.1625    0.0000
  14  28 Si 3b    19.7800    0.3600   21.6800    0.4500   18.5103    0.0000   32.1625    0.0000
  14  28 Si 3a    18.1300    0.0300   20.6100    0.0600   18.5103    0.0000   32.1625    0.0000
  14  28 Si 3b    18.8500    0.3000   20.8500    0.2000   18.5103    0.0000   32.1625    0.0000
  14  29 Si 3a    20.9700    0.1100    0.0000    0.0000   19.2510    0.0000   26.0310    0.0000
  14  29 Si 3b    20.9100    0.1600    0.0000    0.0000   19.2510    0.0000   26.0310    0.0000
  14  30 Si 3a    21.3200    0.2100    0.0000    0.0000   20.7395    0.0000    0.0000    0.0000
  14  30 Si 3b    21.2500    0.2900    0.0000    0.0000   20.7395    0.0000    0.0000    0.0000
  14  28 Si 0     20.4500    0.0300   25.2400    0.1900   18.5103    0.0000   32.1625    0.0000
  16  32 S  0     19.5700    0.0900    0.0000    0.0000   20.5253    0.0000    0.0000    0.0000
  16  32 S  3a    21.2100    0.1200    0.0000    0.0000   20.5253    0.0000    0.0000    0.0000
  16  32 S  3b    21.7700    0.2000    0.0000    0.0000   20.5253    0.0000    0.0000    0.0000
  16  34 S  0     21.6600    0.7600    0.0000    0.0000   20.2480    0.0000    0.0000    0.0000
  16  34 S  3a    22.3200    0.2200    0.0000    0.0000   20.2480    0.0000    0.0000    0.0000
  16  34 S  3b    22.7800    0.4100    0.0000    0.0000   20.2480    0.0000    0.0000    0.0000
  16  34 S  3a    21.2300    0.1600    0.0000    0.0000   20.2480    0.0000    0.0000    0.0000
  16  34 S  3b    21.9500    0.3600    0.0000    0.0000   20.2480    0.0000    0.0000    0.0000
  16  32 S  0     20.4200    0.1100    0.0000    0.0000   20.5253    0.0000    0.0000    0.0000
  18  40 Ar 3a    19.9100    0.2100    0.0000    0.0000   19.5464    0.0000    0.0000    0.0000
  18  40 Ar 3b    20.5400    0.5900    0.0000    0.0000   19.5464    0.0000    0.0000    0.0000
  19  39 K  13    21.2800    0.0300    0.0000    0.0000   19.7368    0.0000    0.0000    0.0000
  20  40 Ca 0     20.7200    0.1100    0.0000    0.0000   19.6449    0.0000    0.0000    0.0000
  20  40 Ca 3a    20.1400    0.0500    0.0000    0.0000   19.6449    0.0000    0.0000    0.0000
  20  40 Ca 3b    20.1100    0.1000    0.0000    0.0000   19.6449    0.0000    0.0000    0.0000
  20  42 Ca 3a    20.5300    0.1600    0.0000    0.0000   19.4343    0.0000    0.0000    0.0000
  20  42 Ca 3b    20.5900    0.2400    0.0000    0.0000   19.4343    0.0000    0.0000    0.0000
  20  44 Ca 3a    20.0800    0.1900    0.0000    0.0000   19.1982    0.0000    0.0000    0.0000
  20  44 Ca 3b    20.3800    0.4700    0.0000    0.0000   19.1982    0.0000    0.0000    0.0000
  20  48 Ca 0     19.9000    0.1800    0.0000    0.0000   18.6828    0.0000    0.0000    0.0000
  20  48 Ca 3a    19.9500    0.1800    0.0000    0.0000   18.6828    0.0000    0.0000    0.0000
  20  48 Ca 3b    19.8000    0.2800    0.0000    0.0000   18.6828    0.0000    0.0000    0.0000
  20  40 Ca 0     20.0900    0.0200    0.0000    0.0000   19.6449    0.0000    0.0000    0.0000
  20  40 Ca 0     19.9800    0.0300    0.0000    0.0000   19.6449    0.0000    0.0000    0.0000
  20  40 Ca 0     19.6200    0.0300    0.0000    0.0000   19.6449    0.0000    0.0000    0.0000
  20  40 Ca 1a    20.4200    0.0700    0.0000    0.0000   19.6449    0.0000    0.0000    0.0000
  20  40 Ca 1b    20.2500    0.1200    0.0000    0.0000   19.6449    0.0000    0.0000    0.0000
  20  40 Ca 2     20.0200    0.0400    0.0000    0.0000   19.6449    0.0000    0.0000    0.0000
  22  46 Ti 3a    19.9500    0.0900    0.0000    0.0000   19.0907    0.0000    0.0000    0.0000
  22  46 Ti 3b    19.9800    0.2500    0.0000    0.0000   19.0907    0.0000    0.0000    0.0000
  22  48 Ti 3a    20.1300    0.2500    0.0000    0.0000   18.8819    0.0000    0.0000    0.0000
  22  48 Ti 3b    20.4300    0.5900    0.0000    0.0000   18.8819    0.0000    0.0000    0.0000
  23  51 V  4     18.1800    0.0600   21.3700    0.1500   18.6302    0.0000    0.0000    0.0000
  23  51 V  3a    17.6700    0.1600   22.7100    0.5700   18.6302    0.0000    0.0000    0.0000
  23  51 V  3b    17.9600    0.3600   22.8700    0.6500   18.6302    0.0000    0.0000    0.0000
  23  51 V  4a    17.2900    0.0400   19.9000    0.0200   18.6302    0.0000    0.0000    0.0000
  23  51 V  4b    15.5800    1.2200   18.4000    0.2300   18.6302    0.0000    0.0000    0.0000
  24  52 Cr 3a    19.1600    0.0800    0.0000    0.0000   18.5927    0.0000    0.0000    0.0000
  24  52 Cr 3b    19.3600    0.2200    0.0000    0.0000   18.5927    0.0000    0.0000    0.0000
  24  52 Cr 4a    18.2100    0.0400    0.0000    0.0000   18.5927    0.0000    0.0000    0.0000
  24  52 Cr 4b    18.6500    0.0600    0.0000    0.0000   18.5927    0.0000    0.0000    0.0000
  25  55 Mn 4     16.4300    0.0800   20.1300    0.2300   16.4696    0.0000   19.5810    0.0000
  25  55 Mn 4     17.0200    0.2500   20.0500    0.6300   16.4696    0.0000   19.5810    0.0000
  25  55 Mn 4a    16.4700    0.1000   19.2600    0.0800   16.4696    0.0000   19.5810    0.0000
  25  55 Mn 4b    16.4500    0.1100   19.2600    0.0900   16.4696    0.0000   19.5810    0.0000
  26  54 Fe 0     19.3900    0.0800    0.0000    0.0000   18.4951    0.0000    0.0000    0.0000
