#A   Z    Beta
12   4    0.88		
10   6    0.701				
12   6    0.583								
16   6    0.323	
18   6    0.289			
20   6    0.405	
16   8    0.349
18   8    0.347	
20   8    0.269			
22   8    0.212
18   10   0.661	
20   10   0.721	
22   10   0.5616		
24   10   0.418				
26   10   0.413				
28   10   0.367		
22   12   0.57				
24   12   0.6092		
26   12   0.4891			
28   12   0.503			
30   12   0.415		
32   12   0.501			
34   12   0.553
24   14   0.245		
26   14   0.439					
28   14   0.4073			
30   14   0.3108		
32   14   0.228				
34   14   0.183					
36   14   0.265					
38   14   0.255					
40   14   0.375 				
28   16   0.265					
30   16   0.339					
32   16   0.3102	
34   16   0.250
36   16   0.1569		
38   16   0.247			
40   16   0.284			
42   16   0.300			
44   16   0.258		
32   18   0.261			
34   18   0.235			
36   18   0.2573			
38   18   0.1595		
40   18   0.2519
42   18   0.273	
44   18   0.246	
46   18   0.196
48   18   0.228
38   20   0.127	
40   20   0.1196
42   20   0.2312
44   20   0.2522
46   20   0.1468
48   20   0.1054	
50   20   0.0654
42   22   0.321
44   22   0.277				
46   22   0.3175
48   22   0.2575
50   22   0.1617
52   22   0.2331
54   22   0.175
56   22   0.221
46   24   0.288
48   24   0.340
50   24   0.2897
52   24   0.2170
54   24   0.2478
56   24   0.195
58   24   0.252
60   24   0.275
62   24   0.322
64   24   0.299
54   26   0.193
56   26   0.239
58   26   0.270
60   26   0.224
62   26   0.228		
64   26   0.291		
66   26   0.2670					
68   26   0.283	
54   28   0.179		
56   28   0.151	
58   28   0.1768
60   28   0.2052
62   28   0.1977
64   28   0.1686
66   28   0.1558
68   28   0.101
70   28   0.179
74   28   0.149	
62   30   0.2166	
64   30   0.2342	
66   30   0.2198	
68   30   0.2015	
70   30   0.2218	
72   30   0.243				
74   30   0.2430					
76   30   0.206	
78   30   0.147	
80   30   0.141
64   32   0.259			
66   32   0.2038	
68   32   0.1923			
70   32   0.2264
72   32   0.2400	
74   32   0.285					
76   32   0.2650					
78   32   0.2346					
80   32   0.183	
82   32   0.167	
68   34   0.236			
70   34   0.207	
72   34   0.2152
74   34   0.2902
76   34   0.3133	
78   34   0.2744
80   34   0.2314
82   34   0.1939
84   34   0.145
72   36   0.319			
74   36   0.363			
76   36   0.3920
78   36   0.3524
80   36   0.2686
82   36   0.2031		
84   36   0.1500		
86   36   0.1347
88   36   0.1222		
90   36   0.158		
92   36   0.1805		
94   36   0.194
96   36   0.254
76   38   0.443
78   38   0.413
80   38   0.3930
82   38   0.2884		
84   38   0.2156
86   38   0.1439
88   38   0.1163
90   38   0.122	
92   38   0.116		
94   38   0.117		
96   38   0.1753		
98   38   0.4010
100  38   0.392
82   40   0.368	
84   40   0.2506		
86   40   0.148	
88   40   0.1077		
90   40   0.0907
92   40   0.1009
94   40   0.0882
96   40   0.0615
100  40   0.3556		
102  40   0.387
104  40   0.460
106  40   0.36
92   42   0.1061		
94   42   0.1525		
96   42   0.1740		
98   42   0.1692		
100  42   0.2340		
102  42   0.3135				
104  42   0.354
106  42   0.351
108  42   0.403				
96   44   0.1538				
98   44   0.1970				
100  44   0.21539			
102  44   0.2408
104  44   0.2717
106  44   0.306
108  44   0.276					
110  44   0.2980					
112  44   0.299					
100  46   0.1728		
102  46   0.1965
104  46   0.2080
106  46   0.2294
108  46   0.2437
110  46   0.2562
112  46   0.218				
114  46   0.245				
116  46   0.201				
100  48   0.1616					
102  48   0.1407					
104  48   0.160				
106  48   0.1726				
108  48   0.1730				
110  48   0.1723				
112  48   0.1847				
114  48   0.1888				
116  48   0.1940				
118  48   0.1915				
120  48   0.171			
122  48   0.163					
124  48   0.144			
126  48   0.124		
104  50   0.1104		
106  50   0.1187
108  50   0.1214
110  50   0.1217
112  50   0.1207
114  50   0.1147
116  50   0.1110				
118  50   0.1100	
120  50   0.1063
122  50   0.1027
124  50   0.0942
126  50   0.0825
128  50   0.0636
130  50   0.0344
132  50   0.0771
134  50   0.0378
108  52   0.153	
112  52   0.163
114  52   0.1774		
118  52   0.175	
120  52   0.1903
122  52   0.1834
124  52   0.1684
126  52   0.1532
128  52   0.1358
130  52   0.1185
132  52   0.0983
134  52   0.0687
136  52   0.0739
114  54   0.2257
116  54   0.2492
118  54   0.2633		
120  54   0.2920
122  54   0.2544
124  54   0.2243
126  54   0.1949
128  54   0.1885
130  54   0.1671
132  54   0.1422
134  54   0.1158
136  54   0.0949
138  54   0.124
140  54   0.144
142  54   0.164
144  54   0.168
122  56   0.323
124  56   0.3024
126  56   0.2726
128  56   0.2027		
130  56   0.2159
132  56   0.1844
134  56   0.1617
136  56   0.1262
138  56   0.0933
140  56   0.1340
142  56   0.1569
144  56   0.1902
146  56   0.2177
124  58   0.377	
126  58   0.381
128  58   0.2975
130  58   0.2589
132  58   0.2515
134  58   0.1974
136  58   0.1707
138  58   0.1283
140  58   0.1018
142  58   0.1245
144  58   0.179	
146  58   0.178
148  58   0.2548
150  58   0.317
152  58   0.429	
130  60   0.373
132  60   0.354
134  60   0.2538		
136  60   0.236
140  60   0.1526
142  60   0.0917
144  60   0.1253
146  60   0.1512
148  60   0.2004
150  60   0.2825
152  60   0.3447
154  60   0.258	
134  62   0.365
136  62   0.292	
138  62   0.200
140  62   0.179
142  62   0.144
144  62   0.0869
146  62   0.083
148  62   0.1416
150  62   0.1929						
152  62   0.3065
154  62   0.3404
138  64   0.2513
148  64   0.078	
152  64   0.2053
154  64   0.3113
156  64   0.3399
158  64   0.3510
160  64   0.3510
162  64   0.3588		
164  64   0.3489		
152  66   0.101
154  66   0.2387
156  66   0.2933
158  66   0.3255
160  66   0.3360
162  66   0.3391
164  66   0.3486
156  68   0.1893
158  68   0.2703
160  68   0.3024
162  68   0.3232
164  68   0.3348
166  68   0.3396
168  68   0.3361
170  68   0.3368
158  70   0.193
160  70   0.2202
162  70   0.2606
164  70   0.2886
166  70   0.3137
168  70   0.324
170  70   0.3239
172  70   0.3315
174  70   0.3226
176  70   0.3014
162  72   0.1574
164  72   0.1819
166  72   0.2488		
168  72   0.2781
170  72   0.2976
172  72   0.314
174  72   0.301
176  72   0.299
178  72   0.2779
180  72   0.2731
168  74   0.2317
170  74   0.2396
172  74   0.2943
174  74   0.264
176  74   0.2785
178  74   0.2650
180  74   0.251
182  74   0.2485
184  74   0.2339
186  74   0.2257
188  74   0.198
172  76   0.2241		
174  76   0.2618		
176  76   0.218
178  76   0.2456		
180  76   0.242
182  76   0.2352
184  76   0.2121
186  76   0.2056
188  76   0.1844
190  76   0.1777
192  76   0.1639
176  78   0.1896
178  78   0.2427		
180  78   0.253
182  78   0.2160		
184  78   0.2244
186  78   0.200
188  78   0.183
190  78   0.1537
192  78   0.1561
194  78   0.1421
196  78   0.1308
198  78   0.1137
180  80   0.1373
182  80   0.1466
184  80   0.143
186  80   0.135
188  80   0.145
196  80   0.1152
198  80   0.1049
200  80   0.0983
202  80   0.0828
204  80   0.0683
186  82   0.0475
188  82   0.0546			
204  82   0.0407
206  82   0.0319
208  82   0.0541
194  84   0.179	
196  84   0.1294
210  84   0.0138
202  86   0.098	
204  86   0.120		
220  86   0.1270
222  86   0.1417
218  88   0.0910		
222  88   0.1915
224  88   0.1790
226  88   0.2024
228  88   0.2167
222  90   0.1522
224  90   0.1744		
226  90   0.2303
228  90   0.2299
230  90   0.2456
232  90   0.2571
234  90   0.2395		
230  92   0.260
232  92   0.264
234  92   0.2662
236  92   0.2741
238  92   0.2741
238  94   0.2821
240  94   0.2904
242  94   0.2983
244  94   0.2924
240  96   0.296
244  96   0.2963
246  96   0.2983
248  96   0.2857
250  98   0.298
252  98   0.304
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
