#Z	A	N	Beta
2	4	2	0.172
2	6	4	0.736
4	6	2	0.77
4	8	4	0.58
4	9	5	0.58
4	10	6	0.542
4	12	8	1.11
6	10	4	0.334
6	12	6	-0.29
6	13	7	-0.19
6	14	8	-0.231
6	16	10	0.462
6	18	12	0.39
6	20	14	-0.55
6	22	16	0.37
6	24	18	-0.62
8	14	6	0.0861
8	16	8	0.084
8	18	10	0.157
8	20	12	0.171
10	18	8	0.325
10	20	10	0.35
10	22	12	0.397
10	24	14	0.318
12	22	10	0.639
12	24	12	0.61
12	26	14	0.531
12	28	16	0.589
14	26	12	-0.358
14	28	14	-0.36
14	30	16	-0.321
14	32	18	-0.345
16	30	14	-0.211
16	32	16	-0.21
16	34	18	-0.215
16	36	20	-0.173
18	34	16	-0.167
18	36	18	-0.172
18	38	20	-0.164
18	40	22	-0.2
18	42	24	-0.22
20	38	18	0.106
20	40	20	0.08
20	42	22	0.128
20	44	24	0.147
20	46	26	0.136
20	48	28	0.0807
20	50	30	0.156
22	42	20	0.151
22	44	22	0.181
22	46	24	0.2
22	48	26	0.19
22	50	28	0.151
22	52	30	0.184
24	48	24	0.242
24	50	26	0.238
24	52	28	0.176
24	54	30	0.23
24	56	32	0.209
26	52	26	0.211
26	54	28	0.163
26	56	30	0.21
26	58	32	0.215
26	60	34	0.211
26	62	36	0.151
28	56	28	0.125
28	58	30	0.17
28	60	32	-0.178
28	62	34	0.189
28	64	36	-0.176
28	66	38	-0.172
30	60	30	-0.189
30	62	32	-0.194
30	64	34	-0.19
30	66	36	-0.186
30	68	38	-0.183
30	70	40	-0.201
30	72	42	-0.235
32	64	32	 0.0
32	66	34	-0.189
32	68	36	-0.183
32	70	38	-0.182
32	72	40	-0.203
32	74	42	0.24
32	76	44	0.247
32	78	46	0.0
34	72	38	0.211
34	74	40	0.246
34	76	42	0.262
34	78	44	0.25
34	80	46	0.24
34	82	48	0.242
34	84	50	0.162
34	86	52	0.233
36	74	38	0.291
36	76	40	0.301
36	78	42	0.291
36	80	44	0.25
36	82	46	0.223
36	84	48	0.209
36	86	50	0.261
36	88	52	0.223
36	90	54	0.233
38	78	40	0.164
38	80	42	0.188
38	82	44	0.154
38	84	46	0.131
38	86	48	0.112
38	88	50	0.086
38	90	52	0.128
38	92	54	0.129
38	94	56	0.128
38	96	58	0.129
40	88	48	0.106
40	90	50	0.074
40	92	52	0.113
40	94	54	0.114
40	96	56	0.0828
40	98	58	0.119
40	100	60	0.237
40	102	62	0.281
42	90	48	-0.0606
42	92	50	-0.048
42	94	52	0.0632
42	96	54	0.0869
42	98	56	0.0665
42	100	58	0.0806
42	102	60	0.108
42	104	62	0.135
42	106	64	0.142
44	94	50	0.152
44	96	52	0.199
44	98	54	0.225
44	100	56	0.248
44	102	58	0.264
44	104	60	0.304
44	106	62	0.35
44	108	64	0.37
44	110	66	0.371
44	112	68	0.374
46	98	52	0.125
46	100	54	0.14
46	102	56	0.153
46	104	58	0.154
46	106	60	0.16
46	108	62	0.174
46	110	64	0.187
46	112	66	0.194
46	114	68	0.198
46	116	70	0.196
48	102	54	0.17
48	104	56	0.178
48	106	58	0.181
48	108	60	0.181
48	110	62	0.178
48	112	64	0.184
48	114	66	0.193
48	116	68	0.201
48	118	70	0.206
48	120	72	0.206
48	122	74	0.191
50	102	52	-0.112
50	104	54	-0.118
50	106	56	-0.118
50	108	58	-0.118
50	110	60	-0.118
50	112	62	-0.116
50	114	64	-0.114
50	116	66	-0.114
50	118	68	-0.117
50	120	70	-0.12
50	122	72	-0.122
50	124	74	-0.122
50	126	76	-0.121
50	128	78	 0.0
50	130	80	-0.118
52	112	60	0.13
52	114	62	0.131
52	116	64	0.133
52	118	66	0.141
52	120	68	0.147
52	122	70	0.146
52	124	72	0.142
52	126	74	0.135
52	128	76	0.128
52	130	78	0.12
52	132	80	0.111
52	134	82	0.0972
54	116	62	0.163
54	118	64	0.163
54	120	66	0.167
54	122	68	0.165
54	124	70	0.159
54	126	72	0.152
54	128	74	0.142
54	130	76	0.129
54	132	78	0.116
54	134	80	0.103
54	136	82	0.0828
54	138	84	0.123
54	140	86	0.154
56	120	64	-0.337
56	122	66	-0.324
56	124	68	-0.3
56	126	70	-0.285
56	128	72	-0.271
56	130	74	-0.241
56	132	76	-0.211
56	134	78	-0.185
56	136	80	-0.159
56	138	82	-0.12
56	140	84	-0.186
56	142	86	-0.24
56	144	88	-0.323
56	146	90	-0.338
58	128	70	-0.289
58	130	72	-0.261
58	132	74	-0.231
58	134	76	-0.206
58	136	78	-0.177
58	138	80	-0.148
58	140	82	-0.104
58	142	84	-0.164
58	144	86	-0.209
58	146	88	-0.258
58	148	90	-0.33
58	150	92	-0.42
60	128	68	-0.244
60	130	70	 0.0
60	132	72	 0.0
60	134	74	-0.171
60	136	76	-0.151
60	138	78	-0.128
60	140	80	-0.105
